play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Henry V;H5 IV.viii;24;Fluellen, Gloucester, Gower, King Henry, Herald, Warwick, Williams;yes;7
Henry V;H5 III.ii;25;Bardolph, Boy, Fluellen, Gower, Jamy, Macmorris, Nym, Pistol;no;8
Henry V;H5 IV.iii;26;Bedford, Erpingham, Exeter, Gloucester, King Henry, Montjoy, Salisbury, Westmorland, York;yes;9
Henry V;H5 I.ii;27;Ambassador, Bedford, Canterbury, Clarence, Ely, Exeter, Gloucester, King Henry, Warwick, Westmorland;yes;10
Henry V;H5 IV.i;28;Bates, Bedford, Court, Erpingham, Fluellen, Gloucester, Gower, King Henry, Pistol, Williams;no;10
Henry V;H5 V.ii;29;Alice, Bedford, Burgundy, Clarence, Exeter, French King, Gloucester, Katherine, King Henry, Huntingdon, Queen Isabel, Warwick, Westmorland,;yes;13
Henry VI Part 1;1H6 IV.ii;1;General, Talbot;yes;2
Henry VI Part 1;1H6 IV.v;2;John, Talbot;no;2
Henry VI Part 1;1H6 IV.vi;3;John, Talbot;yes;2
Henry VI Part 1;1H6 I.v;4;Charles, Pucelle, Talbot;yes;3
Henry VI Part 1;1H6 II.v;5;Gaoler, Mortimer, Richard;no;3
Henry VI Part 1;1H6 IV.iii;6;Lucy, Messenger, Richard;yes;3
Henry VI Part 1;1H6 IV.iv;7;Captain, Lucy, Somerset;yes;3
Henry VI Part 1;1H6 I.vi;8;Alencon, Charles, Pucelle, Reignier;no;4
Henry VI Part 1;1H6 II.iii;9;Countess, Messenger, Porter, Talbot;yes;4
Henry VI Part 1;1H6 I.ii;10;Alencon, Bastard, Charles, Pucelle, Reignier;yes;5
Henry VI Part 1;1H6 II.ii;11;Bedford, Burgundy, Captain, Messenger, Talbot;yes;5
Henry VI Part 1;1H6 III.iii;12;Alencon, Bastard, Burgundy, Charles, Pucelle;yes;5
Henry VI Part 1;1H6 V.i;13;Exeter, Gloucester, King, Legate, Winchester;yes;5
Henry VI Part 1;1H6 V.v;14;Exeter, Gloucester, King, Legate, Suffolk;no;5
Henry VI Part 1;1H6 II.iv;15;Lawyer, Richard, Somerset, Suffolk, Vernon, Warwick;yes;6
